,date,weightclass,fighter,rank
87,2013-02-04,Heavyweight,Cain Velasquez,0
88,2013-02-04,Heavyweight,Junior Dos Santos,1
89,2013-02-04,Heavyweight,Fabricio Werdum,2
90,2013-02-04,Heavyweight,Daniel Cormier,3
91,2013-02-04,Heavyweight,Antonio Silva,4
92,2013-02-04,Heavyweight,Frank Mir,5
93,2013-02-04,Heavyweight,Alistair Overeem,6
94,2013-02-04,Heavyweight,Minotauro Nogueira,7
95,2013-02-04,Heavyweight,Roy Nelson,8
96,2013-02-04,Heavyweight,Stefan Struve,9
97,2013-02-04,Heavyweight,Shane Carwin,10
185,2013-02-11,Heavyweight,Cain Velasquez,0
186,2013-02-11,Heavyweight,Junior Dos Santos,1
187,2013-02-11,Heavyweight,Fabricio Werdum,2
188,2013-02-11,Heavyweight,Daniel Cormier,3
189,2013-02-11,Heavyweight,Antonio Silva,4
190,2013-02-11,Heavyweight,Frank Mir,5
191,2013-02-11,Heavyweight,Alistair Overeem,6
192,2013-02-11,Heavyweight,Minotauro Nogueira,7
193,2013-02-11,Heavyweight,Roy Nelson,8
194,2013-02-11,Heavyweight,Stefan Struve,9
195,2013-02-11,Heavyweight,Shane Carwin,10
283,2013-02-18,Heavyweight,Cain Velasquez,0
284,2013-02-18,Heavyweight,Junior Dos Santos,1
285,2013-02-18,Heavyweight,Fabricio Werdum,2
286,2013-02-18,Heavyweight,Daniel Cormier,3
287,2013-02-18,Heavyweight,Antonio Silva,4
288,2013-02-18,Heavyweight,Frank Mir,5
289,2013-02-18,Heavyweight,Alistair Overeem,6
290,2013-02-18,Heavyweight,Minotauro Nogueira,7
291,2013-02-18,Heavyweight,Roy Nelson,8
292,2013-02-18,Heavyweight,Stefan Struve,9
293,2013-02-18,Heavyweight,Shane Carwin,10
381,2013-02-25,Heavyweight,Cain Velasquez,0
382,2013-02-25,Heavyweight,Junior Dos Santos,1
383,2013-02-25,Heavyweight,Fabricio Werdum,2
384,2013-02-25,Heavyweight,Daniel Cormier,3
385,2013-02-25,Heavyweight,Antonio Silva,4
386,2013-02-25,Heavyweight,Frank Mir,5
387,2013-02-25,Heavyweight,Alistair Overeem,6
388,2013-02-25,Heavyweight,Roy Nelson,7
389,2013-02-25,Heavyweight,Minotauro Nogueira,8
390,2013-02-25,Heavyweight,Stefan Struve,9
391,2013-02-25,Heavyweight,Shane Carwin,10
479,2013-03-04,Heavyweight,Cain Velasquez,0
480,2013-03-04,Heavyweight,Junior Dos Santos,1
481,2013-03-04,Heavyweight,Fabricio Werdum,2
482,2013-03-04,Heavyweight,Daniel Cormier,3
483,2013-03-04,Heavyweight,Antonio Silva,4
484,2013-03-04,Heavyweight,Frank Mir,5
485,2013-03-04,Heavyweight,Alistair Overeem,6
486,2013-03-04,Heavyweight,Minotauro Nogueira,7
487,2013-03-04,Heavyweight,Roy Nelson,8
488,2013-03-04,Heavyweight,Mark Hunt,9
489,2013-03-04,Heavyweight,Stefan Struve,10
587,2013-03-18,Heavyweight,Cain Velasquez,0
588,2013-03-18,Heavyweight,Junior Dos Santos,1
589,2013-03-18,Heavyweight,Fabricio Werdum,2
590,2013-03-18,Heavyweight,Daniel Cormier,3
591,2013-03-18,Heavyweight,Antonio Silva,4
592,2013-03-18,Heavyweight,Frank Mir,5
593,2013-03-18,Heavyweight,Alistair Overeem,6
594,2013-03-18,Heavyweight,Minotauro Nogueira,7
595,2013-03-18,Heavyweight,Roy Nelson,8
596,2013-03-18,Heavyweight,Mark Hunt,9
597,2013-03-18,Heavyweight,Stefan Struve,10
696,2013-04-08,Heavyweight,Cain Velasquez,0
697,2013-04-08,Heavyweight,Junior Dos Santos,1
698,2013-04-08,Heavyweight,Fabricio Werdum,2
699,2013-04-08,Heavyweight,Daniel Cormier,3
700,2013-04-08,Heavyweight,Antonio Silva,4
701,2013-04-08,Heavyweight,Alistair Overeem,5
702,2013-04-08,Heavyweight,Frank Mir,6
703,2013-04-08,Heavyweight,Roy Nelson,7
704,2013-04-08,Heavyweight,Minotauro Nogueira,8
705,2013-04-08,Heavyweight,Mark Hunt,9
706,2013-04-08,Heavyweight,Stefan Struve,10
805,2013-04-15,Heavyweight,Cain Velasquez,0
806,2013-04-15,Heavyweight,Junior Dos Santos,1
807,2013-04-15,Heavyweight,Fabricio Werdum,2
808,2013-04-15,Heavyweight,Daniel Cormier,3
809,2013-04-15,Heavyweight,Antonio Silva,4
810,2013-04-15,Heavyweight,Alistair Overeem,5
811,2013-04-15,Heavyweight,Frank Mir,6
812,2013-04-15,Heavyweight,Roy Nelson,7
813,2013-04-15,Heavyweight,Minotauro Nogueira,8
814,2013-04-15,Heavyweight,Mark Hunt,9
815,2013-04-15,Heavyweight,Stefan Struve,10
816,2013-04-15,Heavyweight,Travis Browne,10
915,2013-04-22,Heavyweight,Cain Velasquez,0
916,2013-04-22,Heavyweight,Junior Dos Santos,1
917,2013-04-22,Heavyweight,Daniel Cormier,2
918,2013-04-22,Heavyweight,Fabricio Werdum,3
919,2013-04-22,Heavyweight,Antonio Silva,4
920,2013-04-22,Heavyweight,Alistair Overeem,5
921,2013-04-22,Heavyweight,Roy Nelson,6
922,2013-04-22,Heavyweight,Frank Mir,7
923,2013-04-22,Heavyweight,Minotauro Nogueira,8
924,2013-04-22,Heavyweight,Mark Hunt,9
925,2013-04-22,Heavyweight,Travis Browne,10
1024,2013-04-29,Heavyweight,Cain Velasquez,0
1025,2013-04-29,Heavyweight,Junior Dos Santos,1
1026,2013-04-29,Heavyweight,Daniel Cormier,2
1027,2013-04-29,Heavyweight,Fabricio Werdum,3
1028,2013-04-29,Heavyweight,Antonio Silva,4
1029,2013-04-29,Heavyweight,Alistair Overeem,5
1030,2013-04-29,Heavyweight,Roy Nelson,5
1031,2013-04-29,Heavyweight,Frank Mir,7
1032,2013-04-29,Heavyweight,Minotauro Nogueira,8
1033,2013-04-29,Heavyweight,Mark Hunt,9
1034,2013-04-29,Heavyweight,Travis Browne,10
1133,2013-05-28,Heavyweight,Cain Velasquez,0
1134,2013-05-28,Heavyweight,Junior Dos Santos,1
1135,2013-05-28,Heavyweight,Daniel Cormier,2
1136,2013-05-28,Heavyweight,Fabricio Werdum,3
1137,2013-05-28,Heavyweight,Antonio Silva,4
1138,2013-05-28,Heavyweight,Roy Nelson,5
1139,2013-05-28,Heavyweight,Alistair Overeem,6
1140,2013-05-28,Heavyweight,Frank Mir,7
1141,2013-05-28,Heavyweight,Minotauro Nogueira,8
1142,2013-05-28,Heavyweight,Travis Browne,9
1143,2013-05-28,Heavyweight,Mark Hunt,10
1242,2013-06-10,Heavyweight,Cain Velasquez,0
1243,2013-06-10,Heavyweight,Junior Dos Santos,1
1244,2013-06-10,Heavyweight,Daniel Cormier,2
1245,2013-06-10,Heavyweight,Fabricio Werdum,3
1246,2013-06-10,Heavyweight,Antonio Silva,4
1247,2013-06-10,Heavyweight,Roy Nelson,5
1248,2013-06-10,Heavyweight,Alistair Overeem,6
1249,2013-06-10,Heavyweight,Frank Mir,7
1250,2013-06-10,Heavyweight,Travis Browne,8
1251,2013-06-10,Heavyweight,Mark Hunt,9
1252,2013-06-10,Heavyweight,Minotauro Nogueira,10
1351,2013-06-18,Heavyweight,Cain Velasquez,0
1352,2013-06-18,Heavyweight,Junior Dos Santos,1
1353,2013-06-18,Heavyweight,Daniel Cormier,2
1354,2013-06-18,Heavyweight,Fabricio Werdum,3
1355,2013-06-18,Heavyweight,Antonio Silva,4
1356,2013-06-18,Heavyweight,Alistair Overeem,5
1357,2013-06-18,Heavyweight,Frank Mir,6
1358,2013-06-18,Heavyweight,Roy Nelson,7
1359,2013-06-18,Heavyweight,Stipe Miocic,8
1360,2013-06-18,Heavyweight,Travis Browne,9
1361,2013-06-18,Heavyweight,Josh Barnett,10
1460,2013-07-08,Heavyweight,Cain Velasquez,0
1461,2013-07-08,Heavyweight,Junior Dos Santos,1
1462,2013-07-08,Heavyweight,Daniel Cormier,2
1463,2013-07-08,Heavyweight,Fabricio Werdum,3
1464,2013-07-08,Heavyweight,Antonio Silva,4
1465,2013-07-08,Heavyweight,Alistair Overeem,5
1466,2013-07-08,Heavyweight,Frank Mir,6
1467,2013-07-08,Heavyweight,Roy Nelson,7
1468,2013-07-08,Heavyweight,Travis Browne,8
1469,2013-07-08,Heavyweight,Stipe Miocic,9
1470,2013-07-08,Heavyweight,Josh Barnett,10
1569,2013-07-29,Heavyweight,Cain Velasquez,0
1570,2013-07-29,Heavyweight,Junior Dos Santos,1
1571,2013-07-29,Heavyweight,Daniel Cormier,2
1572,2013-07-29,Heavyweight,Fabricio Werdum,3
1573,2013-07-29,Heavyweight,Antonio Silva,4
1574,2013-07-29,Heavyweight,Alistair Overeem,5
1575,2013-07-29,Heavyweight,Frank Mir,6
1576,2013-07-29,Heavyweight,Roy Nelson,7
1577,2013-07-29,Heavyweight,Travis Browne,8
1578,2013-07-29,Heavyweight,Stipe Miocic,9
1579,2013-07-29,Heavyweight,Josh Barnett,10
1678,2013-08-05,Heavyweight,Cain Velasquez,0
1679,2013-08-05,Heavyweight,Junior Dos Santos,1
1680,2013-08-05,Heavyweight,Daniel Cormier,2
1681,2013-08-05,Heavyweight,Fabricio Werdum,3
1682,2013-08-05,Heavyweight,Antonio Silva,4
1683,2013-08-05,Heavyweight,Alistair Overeem,5
1684,2013-08-05,Heavyweight,Frank Mir,6
1685,2013-08-05,Heavyweight,Roy Nelson,7
1686,2013-08-05,Heavyweight,Travis Browne,8
1687,2013-08-05,Heavyweight,Stipe Miocic,9
1688,2013-08-05,Heavyweight,Josh Barnett,10
1787,2013-08-19,Heavyweight,Cain Velasquez,0
1788,2013-08-19,Heavyweight,Junior Dos Santos,1
1789,2013-08-19,Heavyweight,Daniel Cormier,2
1790,2013-08-19,Heavyweight,Fabricio Werdum,3
1791,2013-08-19,Heavyweight,Antonio Silva,4
1792,2013-08-19,Heavyweight,Travis Browne,5
1793,2013-08-19,Heavyweight,Frank Mir,6
1794,2013-08-19,Heavyweight,Alistair Overeem,7
1795,2013-08-19,Heavyweight,Roy Nelson,8
1796,2013-08-19,Heavyweight,Stipe Miocic,9
1797,2013-08-19,Heavyweight,Josh Barnett,10
1896,2013-08-30,Heavyweight,Cain Velasquez,0
1897,2013-08-30,Heavyweight,Junior Dos Santos,1
1898,2013-08-30,Heavyweight,Daniel Cormier,2
1899,2013-08-30,Heavyweight,Fabricio Werdum,3
1900,2013-08-30,Heavyweight,Antonio Silva,4
1901,2013-08-30,Heavyweight,Travis Browne,5
1902,2013-08-30,Heavyweight,Frank Mir,6
1903,2013-08-30,Heavyweight,Alistair Overeem,7
1904,2013-08-30,Heavyweight,Roy Nelson,8
1905,2013-08-30,Heavyweight,Stipe Miocic,9
1906,2013-08-30,Heavyweight,Josh Barnett,10
2005,2013-09-02,Heavyweight,Cain Velasquez,0
2006,2013-09-02,Heavyweight,Junior Dos Santos,1
2007,2013-09-02,Heavyweight,Daniel Cormier,2
2008,2013-09-02,Heavyweight,Fabricio Werdum,3
2009,2013-09-02,Heavyweight,Antonio Silva,4
2010,2013-09-02,Heavyweight,Travis Browne,5
2011,2013-09-02,Heavyweight,Josh Barnett,6
2012,2013-09-02,Heavyweight,Alistair Overeem,7
2013,2013-09-02,Heavyweight,Frank Mir,8
2014,2013-09-02,Heavyweight,Roy Nelson,9
2015,2013-09-02,Heavyweight,Stipe Miocic,10
2114,2013-09-06,Heavyweight,Cain Velasquez,0
2115,2013-09-06,Heavyweight,Junior Dos Santos,1
2116,2013-09-06,Heavyweight,Daniel Cormier,2
2117,2013-09-06,Heavyweight,Fabricio Werdum,3
2118,2013-09-06,Heavyweight,Antonio Silva,4
2119,2013-09-06,Heavyweight,Travis Browne,5
2120,2013-09-06,Heavyweight,Josh Barnett,6
2121,2013-09-06,Heavyweight,Alistair Overeem,7
2122,2013-09-06,Heavyweight,Frank Mir,8
2123,2013-09-06,Heavyweight,Roy Nelson,9
2124,2013-09-06,Heavyweight,Stipe Miocic,10
2223,2013-09-23,Heavyweight,Cain Velasquez,0
2224,2013-09-23,Heavyweight,Junior Dos Santos,1
2225,2013-09-23,Heavyweight,Daniel Cormier,2
2226,2013-09-23,Heavyweight,Fabricio Werdum,3
2227,2013-09-23,Heavyweight,Antonio Silva,4
2228,2013-09-23,Heavyweight,Travis Browne,5
2229,2013-09-23,Heavyweight,Josh Barnett,6
2230,2013-09-23,Heavyweight,Frank Mir,7
2231,2013-09-23,Heavyweight,Alistair Overeem,8
2232,2013-09-23,Heavyweight,Roy Nelson,9
2233,2013-09-23,Heavyweight,Stipe Miocic,10
2332,2013-10-11,Heavyweight,Cain Velasquez,0
2333,2013-10-11,Heavyweight,Junior Dos Santos,1
2334,2013-10-11,Heavyweight,Daniel Cormier,2
2335,2013-10-11,Heavyweight,Fabricio Werdum,3
2336,2013-10-11,Heavyweight,Antonio Silva,4
2337,2013-10-11,Heavyweight,Travis Browne,5
2338,2013-10-11,Heavyweight,Josh Barnett,6
2339,2013-10-11,Heavyweight,Frank Mir,7
2340,2013-10-11,Heavyweight,Alistair Overeem,8
2341,2013-10-11,Heavyweight,Roy Nelson,9
2342,2013-10-11,Heavyweight,Stipe Miocic,10
2441,2013-10-21,Heavyweight,Cain Velasquez,0
2442,2013-10-21,Heavyweight,Junior Dos Santos,1
2443,2013-10-21,Heavyweight,Daniel Cormier,2
2444,2013-10-21,Heavyweight,Fabricio Werdum,3
2445,2013-10-21,Heavyweight,Antonio Silva,4
2446,2013-10-21,Heavyweight,Travis Browne,5
2447,2013-10-21,Heavyweight,Josh Barnett,6
2448,2013-10-21,Heavyweight,Alistair Overeem,7
2449,2013-10-21,Heavyweight,Frank Mir,8
2450,2013-10-21,Heavyweight,Stipe Miocic,9
2451,2013-10-21,Heavyweight,Roy Nelson,10
2550,2013-10-28,Heavyweight,Cain Velasquez,0
2551,2013-10-28,Heavyweight,Junior Dos Santos,1
2552,2013-10-28,Heavyweight,Daniel Cormier,2
2553,2013-10-28,Heavyweight,Fabricio Werdum,3
2554,2013-10-28,Heavyweight,Antonio Silva,4
2555,2013-10-28,Heavyweight,Travis Browne,5
2556,2013-10-28,Heavyweight,Josh Barnett,6
2557,2013-10-28,Heavyweight,Alistair Overeem,7
2558,2013-10-28,Heavyweight,Frank Mir,8
2559,2013-10-28,Heavyweight,Stipe Miocic,9
2560,2013-10-28,Heavyweight,Roy Nelson,10
2659,2013-11-08,Heavyweight,Cain Velasquez,0
2660,2013-11-08,Heavyweight,Junior Dos Santos,1
2661,2013-11-08,Heavyweight,Daniel Cormier,2
2662,2013-11-08,Heavyweight,Fabricio Werdum,3
2663,2013-11-08,Heavyweight,Antonio Silva,4
2664,2013-11-08,Heavyweight,Travis Browne,5
2665,2013-11-08,Heavyweight,Josh Barnett,6
2666,2013-11-08,Heavyweight,Alistair Overeem,7
2667,2013-11-08,Heavyweight,Frank Mir,8
2668,2013-11-08,Heavyweight,Stipe Miocic,9
2669,2013-11-08,Heavyweight,Roy Nelson,10
2768,2013-11-11,Heavyweight,Cain Velasquez,0
2769,2013-11-11,Heavyweight,Junior Dos Santos,1
2770,2013-11-11,Heavyweight,Daniel Cormier,2
2771,2013-11-11,Heavyweight,Fabricio Werdum,3
2772,2013-11-11,Heavyweight,Antonio Silva,4
2773,2013-11-11,Heavyweight,Travis Browne,5
2774,2013-11-11,Heavyweight,Josh Barnett,6
2775,2013-11-11,Heavyweight,Alistair Overeem,7
2776,2013-11-11,Heavyweight,Stipe Miocic,8
2777,2013-11-11,Heavyweight,Frank Mir,9
2778,2013-11-11,Heavyweight,Roy Nelson,10
2877,2013-11-18,Heavyweight,Cain Velasquez,0
2878,2013-11-18,Heavyweight,Junior Dos Santos,1
2879,2013-11-18,Heavyweight,Daniel Cormier,2
2880,2013-11-18,Heavyweight,Fabricio Werdum,3
2881,2013-11-18,Heavyweight,Antonio Silva,4
2882,2013-11-18,Heavyweight,Travis Browne,5
2883,2013-11-18,Heavyweight,Josh Barnett,6
2884,2013-11-18,Heavyweight,Alistair Overeem,7
2885,2013-11-18,Heavyweight,Frank Mir,8
2886,2013-11-18,Heavyweight,Stipe Miocic,9
2887,2013-11-18,Heavyweight,Roy Nelson,10
2986,2013-12-03,Heavyweight,Cain Velasquez,0
2987,2013-12-03,Heavyweight,Junior Dos Santos,1
2988,2013-12-03,Heavyweight,Daniel Cormier,2
2989,2013-12-03,Heavyweight,Fabricio Werdum,3
2990,2013-12-03,Heavyweight,Antonio Silva,4
2991,2013-12-03,Heavyweight,Travis Browne,5
2992,2013-12-03,Heavyweight,Josh Barnett,6
2993,2013-12-03,Heavyweight,Alistair Overeem,7
2994,2013-12-03,Heavyweight,Frank Mir,8
2995,2013-12-03,Heavyweight,Stipe Miocic,9
2996,2013-12-03,Heavyweight,Roy Nelson,10
3095,2013-12-09,Heavyweight,Cain Velasquez,0
3096,2013-12-09,Heavyweight,Junior Dos Santos,1
3097,2013-12-09,Heavyweight,Fabricio Werdum,2
3098,2013-12-09,Heavyweight,Daniel Cormier,3
3099,2013-12-09,Heavyweight,Antonio Silva,4
3100,2013-12-09,Heavyweight,Travis Browne,5
3101,2013-12-09,Heavyweight,Josh Barnett,6
3102,2013-12-09,Heavyweight,Alistair Overeem,7
3103,2013-12-09,Heavyweight,Mark Hunt,8
3104,2013-12-09,Heavyweight,Frank Mir,9
3105,2013-12-09,Heavyweight,Stipe Miocic,10
3204,2013-12-16,Heavyweight,Cain Velasquez,0
3205,2013-12-16,Heavyweight,Junior Dos Santos,1
3206,2013-12-16,Heavyweight,Fabricio Werdum,2
3207,2013-12-16,Heavyweight,Daniel Cormier,3
3208,2013-12-16,Heavyweight,Antonio Silva,4
3209,2013-12-16,Heavyweight,Travis Browne,5
3210,2013-12-16,Heavyweight,Josh Barnett,6
3211,2013-12-16,Heavyweight,Mark Hunt,7
3212,2013-12-16,Heavyweight,Alistair Overeem,8
3213,2013-12-16,Heavyweight,Frank Mir,9
3214,2013-12-16,Heavyweight,Stipe Miocic,10
3353,2013-12-30,Heavyweight,Cain Velasquez,0
3354,2013-12-30,Heavyweight,Junior Dos Santos,1
3355,2013-12-30,Heavyweight,Fabricio Werdum,2
3356,2013-12-30,Heavyweight,Travis Browne,3
3357,2013-12-30,Heavyweight,Daniel Cormier,4
3358,2013-12-30,Heavyweight,Josh Barnett,5
3359,2013-12-30,Heavyweight,Antonio Silva,6
3360,2013-12-30,Heavyweight,Mark Hunt,7
3361,2013-12-30,Heavyweight,Alistair Overeem,8
3362,2013-12-30,Heavyweight,Stipe Miocic,9
3363,2013-12-30,Heavyweight,Frank Mir,10
3364,2013-12-30,Heavyweight,Roy Nelson,11
3365,2013-12-30,Heavyweight,Gabriel Gonzaga,12
3366,2013-12-30,Heavyweight,Minotauro Nogueira,13
3367,2013-12-30,Heavyweight,Stefan Struve,14
3368,2013-12-30,Heavyweight,Brendan Schaub,15
3512,2014-01-07,Heavyweight,Cain Velasquez,0
3513,2014-01-07,Heavyweight,Junior Dos Santos,1
3514,2014-01-07,Heavyweight,Fabricio Werdum,2
3515,2014-01-07,Heavyweight,Travis Browne,3
3516,2014-01-07,Heavyweight,Daniel Cormier,4
3517,2014-01-07,Heavyweight,Antonio Silva,5
3518,2014-01-07,Heavyweight,Josh Barnett,6
3519,2014-01-07,Heavyweight,Mark Hunt,7
3520,2014-01-07,Heavyweight,Alistair Overeem,8
3521,2014-01-07,Heavyweight,Stipe Miocic,8
3522,2014-01-07,Heavyweight,Frank Mir,10
3523,2014-01-07,Heavyweight,Roy Nelson,11
3524,2014-01-07,Heavyweight,Gabriel Gonzaga,12
3525,2014-01-07,Heavyweight,Minotauro Nogueira,13
3526,2014-01-07,Heavyweight,Stefan Struve,14
3527,2014-01-07,Heavyweight,Brendan Schaub,15
3671,2014-01-17,Heavyweight,Cain Velasquez,0
3672,2014-01-17,Heavyweight,Junior Dos Santos,1
3673,2014-01-17,Heavyweight,Fabricio Werdum,2
3674,2014-01-17,Heavyweight,Travis Browne,3
3675,2014-01-17,Heavyweight,Daniel Cormier,4
3676,2014-01-17,Heavyweight,Josh Barnett,5
3677,2014-01-17,Heavyweight,Antonio Silva,6
3678,2014-01-17,Heavyweight,Mark Hunt,7
3679,2014-01-17,Heavyweight,Stipe Miocic,8
3680,2014-01-17,Heavyweight,Alistair Overeem,9
3681,2014-01-17,Heavyweight,Frank Mir,10
3682,2014-01-17,Heavyweight,Roy Nelson,11
3683,2014-01-17,Heavyweight,Gabriel Gonzaga,12
3684,2014-01-17,Heavyweight,Minotauro Nogueira,13
3685,2014-01-17,Heavyweight,Stefan Struve,14
3686,2014-01-17,Heavyweight,Brendan Schaub,15
3830,2014-01-27,Heavyweight,Cain Velasquez,0
3831,2014-01-27,Heavyweight,Junior Dos Santos,1
3832,2014-01-27,Heavyweight,Fabricio Werdum,2
3833,2014-01-27,Heavyweight,Travis Browne,3
3834,2014-01-27,Heavyweight,Daniel Cormier,4
3835,2014-01-27,Heavyweight,Josh Barnett,5
3836,2014-01-27,Heavyweight,Antonio Silva,6
3837,2014-01-27,Heavyweight,Stipe Miocic,7
3838,2014-01-27,Heavyweight,Mark Hunt,8
3839,2014-01-27,Heavyweight,Alistair Overeem,9
3840,2014-01-27,Heavyweight,Frank Mir,10
3841,2014-01-27,Heavyweight,Roy Nelson,11
3842,2014-01-27,Heavyweight,Gabriel Gonzaga,12
3843,2014-01-27,Heavyweight,Minotauro Nogueira,13
3844,2014-01-27,Heavyweight,Stefan Struve,14
3845,2014-01-27,Heavyweight,Brendan Schaub,15
3990,2014-02-03,Heavyweight,Cain Velasquez,0
3991,2014-02-03,Heavyweight,Junior Dos Santos,1
3992,2014-02-03,Heavyweight,Fabricio Werdum,2
3993,2014-02-03,Heavyweight,Travis Browne,3
3994,2014-02-03,Heavyweight,Daniel Cormier,4
3995,2014-02-03,Heavyweight,Antonio Silva,5
3996,2014-02-03,Heavyweight,Josh Barnett,6
3997,2014-02-03,Heavyweight,Alistair Overeem,7
3998,2014-02-03,Heavyweight,Stipe Miocic,8
3999,2014-02-03,Heavyweight,Mark Hunt,9
4000,2014-02-03,Heavyweight,Roy Nelson,10
4001,2014-02-03,Heavyweight,Frank Mir,11
4002,2014-02-03,Heavyweight,Gabriel Gonzaga,12
4003,2014-02-03,Heavyweight,Minotauro Nogueira,13
4004,2014-02-03,Heavyweight,Stefan Struve,14
4005,2014-02-03,Heavyweight,Brendan Schaub,15
4149,2014-02-17,Heavyweight,Cain Velasquez,0
4150,2014-02-17,Heavyweight,Junior Dos Santos,1
4151,2014-02-17,Heavyweight,Fabricio Werdum,2
4152,2014-02-17,Heavyweight,Travis Browne,3
4153,2014-02-17,Heavyweight,Daniel Cormier,4
4154,2014-02-17,Heavyweight,Antonio Silva,5
4155,2014-02-17,Heavyweight,Josh Barnett,6
4156,2014-02-17,Heavyweight,Alistair Overeem,7
4157,2014-02-17,Heavyweight,Stipe Miocic,8
4158,2014-02-17,Heavyweight,Mark Hunt,9
4159,2014-02-17,Heavyweight,Roy Nelson,10
4160,2014-02-17,Heavyweight,Frank Mir,11
4161,2014-02-17,Heavyweight,Gabriel Gonzaga,12
4162,2014-02-17,Heavyweight,Minotauro Nogueira,13
4163,2014-02-17,Heavyweight,Stefan Struve,14
4164,2014-02-17,Heavyweight,Brendan Schaub,15
4308,2014-02-18,Heavyweight,Cain Velasquez,0
4309,2014-02-18,Heavyweight,Junior Dos Santos,1
4310,2014-02-18,Heavyweight,Fabricio Werdum,2
4311,2014-02-18,Heavyweight,Travis Browne,3
4312,2014-02-18,Heavyweight,Daniel Cormier,4
4313,2014-02-18,Heavyweight,Antonio Silva,5
4314,2014-02-18,Heavyweight,Josh Barnett,6
4315,2014-02-18,Heavyweight,Alistair Overeem,7
4316,2014-02-18,Heavyweight,Stipe Miocic,8
4317,2014-02-18,Heavyweight,Mark Hunt,9
4318,2014-02-18,Heavyweight,Roy Nelson,10
4319,2014-02-18,Heavyweight,Frank Mir,11
4320,2014-02-18,Heavyweight,Gabriel Gonzaga,12
4321,2014-02-18,Heavyweight,Minotauro Nogueira,13
4322,2014-02-18,Heavyweight,Stefan Struve,14
4323,2014-02-18,Heavyweight,Brendan Schaub,15
4467,2014-02-24,Heavyweight,Cain Velasquez,0
4468,2014-02-24,Heavyweight,Junior Dos Santos,1
4469,2014-02-24,Heavyweight,Fabricio Werdum,2
4470,2014-02-24,Heavyweight,Travis Browne,3
4471,2014-02-24,Heavyweight,Antonio Silva,4
4472,2014-02-24,Heavyweight,Josh Barnett,5
4473,2014-02-24,Heavyweight,Alistair Overeem,6
4474,2014-02-24,Heavyweight,Stipe Miocic,7
4475,2014-02-24,Heavyweight,Mark Hunt,8
4476,2014-02-24,Heavyweight,Roy Nelson,9
4477,2014-02-24,Heavyweight,Frank Mir,10
4478,2014-02-24,Heavyweight,Minotauro Nogueira,11
4479,2014-02-24,Heavyweight,Gabriel Gonzaga,12
4480,2014-02-24,Heavyweight,Daniel Cormier,13
4481,2014-02-24,Heavyweight,Stefan Struve,14
4482,2014-02-24,Heavyweight,Brendan Schaub,15
4626,2014-02-25,Heavyweight,Cain Velasquez,0
4627,2014-02-25,Heavyweight,Junior Dos Santos,1
4628,2014-02-25,Heavyweight,Fabricio Werdum,2
4629,2014-02-25,Heavyweight,Travis Browne,3
4630,2014-02-25,Heavyweight,Antonio Silva,4
4631,2014-02-25,Heavyweight,Josh Barnett,5
4632,2014-02-25,Heavyweight,Alistair Overeem,6
4633,2014-02-25,Heavyweight,Stipe Miocic,7
4634,2014-02-25,Heavyweight,Mark Hunt,8
4635,2014-02-25,Heavyweight,Roy Nelson,9
4636,2014-02-25,Heavyweight,Frank Mir,10
4637,2014-02-25,Heavyweight,Minotauro Nogueira,11
4638,2014-02-25,Heavyweight,Gabriel Gonzaga,12
4639,2014-02-25,Heavyweight,Daniel Cormier,13
4640,2014-02-25,Heavyweight,Stefan Struve,14
4641,2014-02-25,Heavyweight,Brendan Schaub,15
4785,2014-03-03,Heavyweight,Cain Velasquez,0
4786,2014-03-03,Heavyweight,Junior Dos Santos,1
4787,2014-03-03,Heavyweight,Fabricio Werdum,2
4788,2014-03-03,Heavyweight,Travis Browne,3
4789,2014-03-03,Heavyweight,Antonio Silva,4
4790,2014-03-03,Heavyweight,Josh Barnett,5
4791,2014-03-03,Heavyweight,Alistair Overeem,6
4792,2014-03-03,Heavyweight,Stipe Miocic,7
4793,2014-03-03,Heavyweight,Mark Hunt,8
4794,2014-03-03,Heavyweight,Roy Nelson,9
4795,2014-03-03,Heavyweight,Frank Mir,10
4796,2014-03-03,Heavyweight,Minotauro Nogueira,11
4797,2014-03-03,Heavyweight,Gabriel Gonzaga,12
4798,2014-03-03,Heavyweight,Stefan Struve,13
4799,2014-03-03,Heavyweight,Brendan Schaub,14
4800,2014-03-03,Heavyweight,Daniel Cormier,15
4944,2014-03-04,Heavyweight,Cain Velasquez,0
4945,2014-03-04,Heavyweight,Junior Dos Santos,1
4946,2014-03-04,Heavyweight,Fabricio Werdum,2
4947,2014-03-04,Heavyweight,Travis Browne,3
4948,2014-03-04,Heavyweight,Antonio Silva,4
4949,2014-03-04,Heavyweight,Josh Barnett,5
4950,2014-03-04,Heavyweight,Alistair Overeem,6
4951,2014-03-04,Heavyweight,Stipe Miocic,7
4952,2014-03-04,Heavyweight,Mark Hunt,8
4953,2014-03-04,Heavyweight,Roy Nelson,9
4954,2014-03-04,Heavyweight,Frank Mir,10
4955,2014-03-04,Heavyweight,Minotauro Nogueira,11
4956,2014-03-04,Heavyweight,Gabriel Gonzaga,12
4957,2014-03-04,Heavyweight,Stefan Struve,13
4958,2014-03-04,Heavyweight,Brendan Schaub,14
4959,2014-03-04,Heavyweight,Daniel Cormier,15
5103,2014-03-10,Heavyweight,Cain Velasquez,0
